date,transported_people
01.02.2019,96776
02.02.2019,51046
03.02.2019,34321
04.02.2019,81629
05.02.2019,81037
06.02.2019,70034
07.02.2019,74413
08.02.2019,80007
09.02.2019,59092
10.02.2019,39662
11.02.2019,98503
12.02.2019,109125
13.02.2019,97719
14.02.2019,88865
15.02.2019,99745
16.02.2019,61837
17.02.2019,45267
18.02.2019,83531
19.02.2019,86292
20.02.2019,92110
21.02.2019,94825
22.02.2019,94553
23.02.2019,75521
24.02.2019,45358
25.02.2019,89375
26.02.2019,102356
27.02.2019,90270
28.02.2019,99812
