day,month,value
1,1,28545
4,2,96776
4,3,108710
0,4,88202
2,5,83343
5,6,59461
0,7,81241
3,8,45750
6,9,44596
1,10,90028
4,11,92605
6,12,47996
2,1,30646
5,2,51046
5,3,61476
1,4,87894
3,5,96937
6,6,40721
1,7,85034
4,8,61390
0,9,92616
2,10,87250
5,11,78132
0,12,92507
3,1,58206
6,2,34321
6,3,44600
2,4,98744
4,5,110173
0,6,76996
2,7,99827
5,8,58924
1,9,81518
3,10,91671
6,11,50753
1,12,94843
4,1,66980
0,2,81629
0,3,91628
3,4,105177
5,5,83522
1,6,71635
3,7,90454
6,8,45722
2,9,88794
4,10,82206
0,11,97844
2,12,95400
5,1,58079
1,2,81037
1,3,101650
4,4,91077
6,5,44144
2,6,76048
4,7,86878
0,8,72233
3,9,99524
5,10,56409
1,11,83983
3,12,106451
6,1,42216
2,2,70034
2,3,83840
5,4,54057
0,5,84446
3,6,89607
5,7,56978
1,8,79257
4,9,93834
6,10,35716
2,11,93999
4,12,103118
0,1,87152
3,2,74413
3,3,66472
6,4,34959
1,5,99650
4,6,75900
6,7,39894
2,8,86806
5,9,59113
0,10,75760
3,11,96472
5,12,73527
1,1,88704
4,2,80007
4,3,101118
0,4,82254
2,5,102645
5,6,55903
0,7,73333
3,8,84389
6,9,32358
1,10,83481
4,11,106625
6,12,47137
2,1,87837
5,2,59092
5,3,41714
1,4,83433
3,5,102774
6,6,43883
1,7,78822
4,8,98872
0,9,88146
2,10,93604
5,11,75464
0,12,103167
3,1,93337
6,2,39662
6,3,39285
2,4,75051
4,5,118147
0,6,37556
2,7,68160
5,8,60142
1,9,81264
3,10,103601
6,11,52071
1,12,86839
4,1,93883
0,2,98503
0,3,102158
3,4,86327
5,5,50874
1,6,81422
3,7,79083
6,8,40911
2,9,87214
4,10,94446
0,11,80080
2,12,103682
5,1,69495
1,2,109125
1,3,95693
4,4,81353
6,5,42459
2,6,94032
4,7,64457
0,8,79212
3,9,85561
5,10,71965
1,11,95119
3,12,106102
6,1,45722
2,2,97719
2,3,93779
5,4,64947
0,5,101036
3,6,97192
5,7,48352
1,8,90050
4,9,86763
6,10,48150
2,11,77365
4,12,115336
0,1,95903
3,2,88865
3,3,93585
6,4,53580
1,5,101978
4,6,65280
6,7,27475
2,8,90900
5,9,64533
0,10,81448
3,11,107539
5,12,86183
1,1,92624
4,2,99745
4,3,91599
0,4,65852
2,5,97382
5,6,71629
0,7,68033
3,8,86804
6,9,43114
1,10,96471
4,11,88211
6,12,62037
2,1,93638
5,2,61837
5,3,58404
1,4,75705
3,5,86069
6,6,17430
1,7,61286
4,8,87606
0,9,82638
2,10,90891
5,11,69288
0,12,105233
3,1,97249
6,2,45267
6,3,37887
2,4,83083
4,5,92816
0,6,86150
2,7,73121
5,8,77075
1,9,89668
3,10,90800
6,11,34574
1,12,111937
4,1,101932
0,2,83531
0,3,96881
3,4,85365
5,5,58368
1,6,71807
3,7,65801
6,8,31959
2,9,92390
4,10,97717
0,11,91702
2,12,111792
5,1,59957
1,2,86292
1,3,95485
4,4,51677
6,5,35995
2,6,85619
4,7,78184
0,8,91261
3,9,111818
5,10,68640
1,11,107188
3,12,101778
6,1,39987
2,2,92110
2,3,101472
5,4,58364
0,5,91217
3,6,89361
5,7,57025
1,8,98499
4,9,106732
6,10,37568
2,11,112307
4,12,104098
0,1,87031
3,2,94825
3,3,95971
6,4,35229
1,5,85143
4,6,74322
6,7,36589
2,8,101062
5,9,63622
0,10,87849
3,11,106790
5,12,82332
1,1,96362
4,2,94553
4,3,105447
0,4,36648
2,5,93697
5,6,35124
0,7,69235
3,8,89486
6,9,32052
1,10,82566
4,11,112508
6,12,47311
2,1,102080
5,2,75521
5,3,65388
1,4,82654
3,5,84598
6,6,23159
1,7,68736
4,8,94263
0,9,89224
2,10,95767
5,11,55511
0,12,77242
3,1,91516
6,2,45358
6,3,46515
2,4,88668
4,5,74159
0,6,59142
2,7,65739
5,8,63852
1,9,82839
3,10,91518
6,11,47522
1,12,59167
4,1,98438
0,2,89375
0,3,90540
3,4,100291
5,5,65046
1,6,74561
3,7,64158
6,8,35981
2,9,84038
4,10,100805
0,11,44429
2,12,35724
5,1,53561
1,2,102356
1,3,95133
4,4,108632
6,5,26657
2,6,83462
4,7,69391
0,8,74471
3,9,82825
5,10,58365
1,11,105487
3,12,40114
6,1,32199
2,2,90270
2,3,82171
5,4,72784
0,5,86450
3,6,81640
5,7,57206
1,8,76690
4,9,82533
6,10,46612
2,11,105965
4,12,70816
0,1,92444
3,2,99812
3,3,100094
6,4,55881
1,5,97020
4,6,92244
6,7,40797
2,8,86957
5,9,32469
0,10,91243
3,11,107396
5,12,54400
1,1,111185
4,3,84817
0,4,90015
2,5,101023
5,6,65793
0,7,63236
3,8,85464
6,9,36479
1,10,101546
4,11,78989
6,12,40276
2,1,86052
5,3,64150
1,4,105204
3,5,50048
6,6,32387
1,7,77265
4,8,81056
0,9,80767
2,10,106798
5,11,66877
0,12,61844
3,1,104366
6,3,32531
4,5,62151
2,7,73472
5,8,62737
3,10,99458
1,12,59325
