date,transported_people
01.01.2019,28545
02.01.2019,30646
03.01.2019,58206
04.01.2019,66980
05.01.2019,58079
06.01.2019,42216
07.01.2019,87152
08.01.2019,88704
09.01.2019,87837
10.01.2019,93337
11.01.2019,93883
12.01.2019,69495
13.01.2019,45722
14.01.2019,95903
15.01.2019,92624
16.01.2019,93638
17.01.2019,97249
18.01.2019,101932
19.01.2019,59957
20.01.2019,39987
21.01.2019,87031
22.01.2019,96362
23.01.2019,102080
24.01.2019,91516
25.01.2019,98438
26.01.2019,53561
27.01.2019,32199
28.01.2019,92444
29.01.2019,111185
30.01.2019,86052
31.01.2019,104366
