date,transported_people
01.04.2020,22216
02.04.2020,22639
03.04.2020,23057
04.04.2020,16644
05.04.2020,9492
06.04.2020,20827
07.04.2020,21936
08.04.2020,25048
09.04.2020,23832
10.04.2020,2796
11.04.2020,19269
12.04.2020,10448
13.04.2020,3704
14.04.2020,21202
15.04.2020,22989
16.04.2020,23320
17.04.2020,21299
18.04.2020,17090
19.04.2020,12168
20.04.2020,25101
21.04.2020,25920
22.04.2020,27675
23.04.2020,26192
24.04.2020,30418
25.04.2020,15975
26.04.2020,12948
27.04.2020,25851
28.04.2020,33934
29.04.2020,31709
30.04.2020,34115
