date,transported_people
01.08.2020,26574
02.08.2020,20721
03.08.2020,52917
04.08.2020,51449
05.08.2020,52490
06.08.2020,54134
07.08.2020,52968
08.08.2020,43280
09.08.2020,25041
10.08.2020,54644
11.08.2020,61173
12.08.2020,48210
13.08.2020,53488
14.08.2020,60247
15.08.2020,41429
16.08.2020,30588
17.08.2020,60139
18.08.2020,60824
19.08.2020,59380
20.08.2020,57858
21.08.2020,62243
22.08.2020,45386
23.08.2020,24931
24.08.2020,49709
25.08.2020,62552
26.08.2020,64322
27.08.2020,60443
28.08.2020,59629
29.08.2020,50541
30.08.2020,29778
31.08.2020,61285
