date,transported_people
01.12.2019,47996
02.12.2019,92507
03.12.2019,94843
04.12.2019,95400
05.12.2019,106451
06.12.2019,103118
07.12.2019,73527
08.12.2019,47137
09.12.2019,103167
10.12.2019,86839
11.12.2019,103682
12.12.2019,106102
13.12.2019,115336
14.12.2019,86183
15.12.2019,62037
16.12.2019,105233
17.12.2019,111937
18.12.2019,111792
19.12.2019,101778
20.12.2019,104098
21.12.2019,82332
22.12.2019,47311
23.12.2019,77242
24.12.2019,59167
25.12.2019,35724
26.12.2019,40114
27.12.2019,70816
28.12.2019,54400
29.12.2019,40276
30.12.2019,61844
31.12.2019,59325
