date,transported_people
01.02.2020,64028
02.02.2020,40852
03.02.2020,76679
04.02.2020,80757
05.02.2020,88996
06.02.2020,68692
07.02.2020,86004
08.02.2020,64417
09.02.2020,41916
10.02.2020,87874
11.02.2020,91936
12.02.2020,104288
13.02.2020,90050
14.02.2020,101191
15.02.2020,74124
16.02.2020,41371
17.02.2020,81339
18.02.2020,93851
19.02.2020,84056
20.02.2020,92737
21.02.2020,90782
22.02.2020,65167
23.02.2020,34595
24.02.2020,91038
25.02.2020,91129
26.02.2020,101846
27.02.2020,54223
28.02.2020,77675
29.02.2020,33179
