date,transported_people
01.07.2020,60960
02.07.2020,55176
03.07.2020,56712
04.07.2020,48866
05.07.2020,30444
06.07.2020,49614
07.07.2020,52548
08.07.2020,52570
09.07.2020,56496
10.07.2020,56985
11.07.2020,48695
12.07.2020,26589
13.07.2020,45318
14.07.2020,50509
15.07.2020,47081
16.07.2020,45154
17.07.2020,50708
18.07.2020,37906
19.07.2020,27943
20.07.2020,46362
21.07.2020,54036
22.07.2020,45925
23.07.2020,43189
24.07.2020,48497
25.07.2020,38654
26.07.2020,25641
27.07.2020,33767
28.07.2020,38186
29.07.2020,45591
30.07.2020,48349
31.07.2020,51997
