date,transported_people
01.06.2019,59461
02.06.2019,40721
03.06.2019,76996
04.06.2019,71635
05.06.2019,76048
06.06.2019,89607
07.06.2019,75900
08.06.2019,55903
09.06.2019,43883
10.06.2019,37556
11.06.2019,81422
12.06.2019,94032
13.06.2019,97192
14.06.2019,65280
15.06.2019,71629
16.06.2019,17430
17.06.2019,86150
18.06.2019,71807
19.06.2019,85619
20.06.2019,89361
21.06.2019,74322
22.06.2019,35124
23.06.2019,23159
24.06.2019,59142
25.06.2019,74561
26.06.2019,83462
27.06.2019,81640
28.06.2019,92244
29.06.2019,65793
30.06.2019,32387
