date,transported_people
01.03.2020,42705
02.03.2020,88311
03.03.2020,86133
04.03.2020,83892
05.03.2020,96338
06.03.2020,86216
07.03.2020,59579
08.03.2020,39697
09.03.2020,80963
10.03.2020,78363
11.03.2020,81232
12.03.2020,80839
13.03.2020,79702
14.03.2020,38989
15.03.2020,26552
16.03.2020,48225
17.03.2020,32118
18.03.2020,28058
19.03.2020,24638
20.03.2020,19854
21.03.2020,13934
22.03.2020,7362
23.03.2020,19791
24.03.2020,16503
25.03.2020,19608
26.03.2020,21628
27.03.2020,19556
28.03.2020,15927
29.03.2020,7499
30.03.2020,20669
31.03.2020,22550
