date,transported_people
01.05.2019,83343
02.05.2019,96937
03.05.2019,110173
04.05.2019,83522
05.05.2019,44144
06.05.2019,84446
07.05.2019,99650
08.05.2019,102645
09.05.2019,102774
10.05.2019,118147
11.05.2019,50874
12.05.2019,42459
13.05.2019,101036
14.05.2019,101978
15.05.2019,97382
16.05.2019,86069
17.05.2019,92816
18.05.2019,58368
19.05.2019,35995
20.05.2019,91217
21.05.2019,85143
22.05.2019,93697
23.05.2019,84598
24.05.2019,74159
25.05.2019,65046
26.05.2019,26657
27.05.2019,86450
28.05.2019,97020
29.05.2019,101023
30.05.2019,50048
31.05.2019,62151
