date,transported_people
01.11.2019,92605
02.11.2019,78132
03.11.2019,50753
04.11.2019,97844
05.11.2019,83983
06.11.2019,93999
07.11.2019,96472
08.11.2019,106625
09.11.2019,75464
10.11.2019,52071
11.11.2019,80080
12.11.2019,95119
13.11.2019,77365
14.11.2019,107539
15.11.2019,88211
16.11.2019,69288
17.11.2019,34574
18.11.2019,91702
19.11.2019,107188
20.11.2019,112307
21.11.2019,106790
22.11.2019,112508
23.11.2019,55511
24.11.2019,47522
25.11.2019,44429
26.11.2019,105487
27.11.2019,105965
28.11.2019,107396
29.11.2019,78989
30.11.2019,66877
