date,transported_people
01.10.2019,90028
02.10.2019,87250
03.10.2019,91671
04.10.2019,82206
05.10.2019,56409
06.10.2019,35716
07.10.2019,75760
08.10.2019,83481
09.10.2019,93604
10.10.2019,103601
11.10.2019,94446
12.10.2019,71965
13.10.2019,48150
14.10.2019,81448
15.10.2019,96471
16.10.2019,90891
17.10.2019,90800
18.10.2019,97717
19.10.2019,68640
20.10.2019,37568
21.10.2019,87849
22.10.2019,82566
23.10.2019,95767
24.10.2019,91518
25.10.2019,100805
26.10.2019,58365
27.10.2019,46612
28.10.2019,91243
29.10.2019,101546
30.10.2019,106798
31.10.2019,99458
