date,transported_people
01.09.2019,44596
02.09.2019,92616
03.09.2019,81518
04.09.2019,88794
05.09.2019,99524
06.09.2019,93834
07.09.2019,59113
08.09.2019,32358
09.09.2019,88146
10.09.2019,81264
11.09.2019,87214
12.09.2019,85561
13.09.2019,86763
14.09.2019,64533
15.09.2019,43114
16.09.2019,82638
17.09.2019,89668
18.09.2019,92390
19.09.2019,111818
20.09.2019,106732
21.09.2019,63622
22.09.2019,32052
23.09.2019,89224
24.09.2019,82839
25.09.2019,84038
26.09.2019,82825
27.09.2019,82533
28.09.2019,32469
29.09.2019,36479
30.09.2019,80767
