date,sum
01.01.2019,28545
01.02.2019,96776
01.03.2019,108710
01.04.2019,88202
01.05.2019,83343
01.06.2019,59461
01.07.2019,81241
01.08.2019,45750
01.09.2019,44596
01.10.2019,90028
01.11.2019,92605
01.12.2019,47996
02.01.2019,30646
02.02.2019,51046
02.03.2019,61476
02.04.2019,87894
02.05.2019,96937
02.06.2019,40721
02.07.2019,85034
02.08.2019,61390
02.09.2019,92616
02.10.2019,87250
02.11.2019,78132
02.12.2019,92507
03.01.2019,58206
03.02.2019,34321
03.03.2019,44600
03.04.2019,98744
03.05.2019,110173
03.06.2019,76996
03.07.2019,99827
03.08.2019,58924
03.09.2019,81518
03.10.2019,91671
03.11.2019,50753
03.12.2019,94843
04.01.2019,66980
04.02.2019,81629
04.03.2019,91628
04.04.2019,105177
04.05.2019,83522
04.06.2019,71635
04.07.2019,90454
04.08.2019,45722
04.09.2019,88794
04.10.2019,82206
04.11.2019,97844
04.12.2019,95400
05.01.2019,58079
05.02.2019,81037
05.03.2019,101650
05.04.2019,91077
05.05.2019,44144
05.06.2019,76048
05.07.2019,86878
05.08.2019,72233
05.09.2019,99524
05.10.2019,56409
05.11.2019,83983
05.12.2019,106451
06.01.2019,42216
06.02.2019,70034
06.03.2019,83840
06.04.2019,54057
06.05.2019,84446
06.06.2019,89607
06.07.2019,56978
06.08.2019,79257
06.09.2019,93834
06.10.2019,35716
06.11.2019,93999
06.12.2019,103118
07.01.2019,87152
07.02.2019,74413
07.03.2019,66472
07.04.2019,34959
07.05.2019,99650
07.06.2019,75900
07.07.2019,39894
07.08.2019,86806
07.09.2019,59113
07.10.2019,75760
07.11.2019,96472
07.12.2019,73527
08.01.2019,88704
08.02.2019,80007
08.03.2019,101118
08.04.2019,82254
08.05.2019,102645
08.06.2019,55903
08.07.2019,73333
08.08.2019,84389
08.09.2019,32358
08.10.2019,83481
08.11.2019,106625
08.12.2019,47137
09.01.2019,87837
09.02.2019,59092
09.03.2019,41714
09.04.2019,83433
09.05.2019,102774
09.06.2019,43883
09.07.2019,78822
09.08.2019,98872
09.09.2019,88146
09.10.2019,93604
09.11.2019,75464
09.12.2019,103167
10.01.2019,93337
10.02.2019,39662
10.03.2019,39285
10.04.2019,75051
10.05.2019,118147
10.06.2019,37556
10.07.2019,68160
10.08.2019,60142
10.09.2019,81264
10.10.2019,103601
10.11.2019,52071
10.12.2019,86839
11.01.2019,93883
11.02.2019,98503
11.03.2019,102158
11.04.2019,86327
11.05.2019,50874
11.06.2019,81422
11.07.2019,79083
11.08.2019,40911
11.09.2019,87214
11.10.2019,94446
11.11.2019,80080
11.12.2019,103682
12.01.2019,69495
12.02.2019,109125
12.03.2019,95693
12.04.2019,81353
12.05.2019,42459
12.06.2019,94032
12.07.2019,64457
12.08.2019,79212
12.09.2019,85561
12.10.2019,71965
12.11.2019,95119
12.12.2019,106102
13.01.2019,45722
13.02.2019,97719
13.03.2019,93779
13.04.2019,64947
13.05.2019,101036
13.06.2019,97192
13.07.2019,48352
13.08.2019,90050
13.09.2019,86763
13.10.2019,48150
13.11.2019,77365
13.12.2019,115336
14.01.2019,95903
14.02.2019,88865
14.03.2019,93585
14.04.2019,53580
14.05.2019,101978
14.06.2019,65280
14.07.2019,27475
14.08.2019,90900
14.09.2019,64533
14.10.2019,81448
14.11.2019,107539
14.12.2019,86183
15.01.2019,92624
15.02.2019,99745
15.03.2019,91599
15.04.2019,65852
15.05.2019,97382
15.06.2019,71629
15.07.2019,68033
15.08.2019,86804
15.09.2019,43114
15.10.2019,96471
15.11.2019,88211
15.12.2019,62037
16.01.2019,93638
16.02.2019,61837
16.03.2019,58404
16.04.2019,75705
16.05.2019,86069
16.06.2019,17430
16.07.2019,61286
16.08.2019,87606
16.09.2019,82638
16.10.2019,90891
16.11.2019,69288
16.12.2019,105233
17.01.2019,97249
17.02.2019,45267
17.03.2019,37887
17.04.2019,83083
17.05.2019,92816
17.06.2019,86150
17.07.2019,73121
17.08.2019,77075
17.09.2019,89668
17.10.2019,90800
17.11.2019,34574
17.12.2019,111937
18.01.2019,101932
18.02.2019,83531
18.03.2019,96881
18.04.2019,85365
18.05.2019,58368
18.06.2019,71807
18.07.2019,65801
18.08.2019,31959
18.09.2019,92390
18.10.2019,97717
18.11.2019,91702
18.12.2019,111792
19.01.2019,59957
19.02.2019,86292
19.03.2019,95485
19.04.2019,51677
19.05.2019,35995
19.06.2019,85619
19.07.2019,78184
19.08.2019,91261
19.09.2019,111818
19.10.2019,68640
19.11.2019,107188
19.12.2019,101778
20.01.2019,39987
20.02.2019,92110
20.03.2019,101472
20.04.2019,58364
20.05.2019,91217
20.06.2019,89361
20.07.2019,57025
20.08.2019,98499
20.09.2019,106732
20.10.2019,37568
20.11.2019,112307
20.12.2019,104098
21.01.2019,87031
21.02.2019,94825
21.03.2019,95971
21.04.2019,35229
21.05.2019,85143
21.06.2019,74322
21.07.2019,36589
21.08.2019,101062
21.09.2019,63622
21.10.2019,87849
21.11.2019,106790
21.12.2019,82332
22.01.2019,96362
22.02.2019,94553
22.03.2019,105447
22.04.2019,36648
22.05.2019,93697
22.06.2019,35124
22.07.2019,69235
22.08.2019,89486
22.09.2019,32052
22.10.2019,82566
22.11.2019,112508
22.12.2019,47311
23.01.2019,102080
23.02.2019,75521
23.03.2019,65388
23.04.2019,82654
23.05.2019,84598
23.06.2019,23159
23.07.2019,68736
23.08.2019,94263
23.09.2019,89224
23.10.2019,95767
23.11.2019,55511
23.12.2019,77242
24.01.2019,91516
24.02.2019,45358
24.03.2019,46515
24.04.2019,88668
24.05.2019,74159
24.06.2019,59142
24.07.2019,65739
24.08.2019,63852
24.09.2019,82839
24.10.2019,91518
24.11.2019,47522
24.12.2019,59167
25.01.2019,98438
25.02.2019,89375
25.03.2019,90540
25.04.2019,100291
25.05.2019,65046
25.06.2019,74561
25.07.2019,64158
25.08.2019,35981
25.09.2019,84038
25.10.2019,100805
25.11.2019,44429
25.12.2019,35724
26.01.2019,53561
26.02.2019,102356
26.03.2019,95133
26.04.2019,108632
26.05.2019,26657
26.06.2019,83462
26.07.2019,69391
26.08.2019,74471
26.09.2019,82825
26.10.2019,58365
26.11.2019,105487
26.12.2019,40114
27.01.2019,32199
27.02.2019,90270
27.03.2019,82171
27.04.2019,72784
27.05.2019,86450
27.06.2019,81640
27.07.2019,57206
27.08.2019,76690
27.09.2019,82533
27.10.2019,46612
27.11.2019,105965
27.12.2019,70816
28.01.2019,92444
28.02.2019,99812
28.03.2019,100094
28.04.2019,55881
28.05.2019,97020
28.06.2019,92244
28.07.2019,40797
28.08.2019,86957
28.09.2019,32469
28.10.2019,91243
28.11.2019,107396
28.12.2019,54400
29.01.2019,111185
29.03.2019,84817
29.04.2019,90015
29.05.2019,101023
29.06.2019,65793
29.07.2019,63236
29.08.2019,85464
29.09.2019,36479
29.10.2019,101546
29.11.2019,78989
29.12.2019,40276
30.01.2019,86052
30.03.2019,64150
30.04.2019,105204
30.05.2019,50048
30.06.2019,32387
30.07.2019,77265
30.08.2019,81056
30.09.2019,80767
30.10.2019,106798
30.11.2019,66877
30.12.2019,61844
31.01.2019,104366
31.03.2019,32531
31.05.2019,62151
31.07.2019,73472
31.08.2019,62737
31.10.2019,99458
31.12.2019,59325
